Etunimi;Lukumäärä
Joacim;153
Melker;153
Carl-Gustav;152
Esa-Matti;152
Odin;152
Tahvo;152
Jerome;151
Mehdi;151
Nils-Erik;151
Alpertti;150
Eirik;150
Fernando;150
Ilias;150
Misa;150
Raoul;150
Silvo;150
Juha-Petteri;149
Marlon;149
Timur;149
Caius;148
Carl-Erik;148
Juska;148
Roi;148
Sammy;148
Curt;147
Juhamatti;147
Laurinpoika;147
Leonid;147
Aaprami;146
Aden;146
Egil;146
Jan-Anders;146
Muhamed;146
Saad;146
Vesanpoika;146
Anatoli;145
Hendrik;145
Kunto;145
Toomas;145
Wilhelmi;145
Aabel;144
Jouka;144
Natanael;144
Aston;143
Diego;143
Kaj-Erik;143
Marek;143
Pablo;143
Sanfrid;143
Stanislav;143
Winston;143
Mahad;142
Pepe;142
Rio;142
Hadi;141
Ruuben;141
Aksu;140
Daavid;140
Emiel;140
Hans-Erik;140
Huuko;140
Matti-Pekka;140
Md;140
Måns;139
Akram;138
Ayman;138
Evgeny;138
Md.;138
Sander;138
Vilpas;138
Ano;137
Jan-Henrik;137
Janne-Pekka;137
Nuuti;137
Willem;137
Ante;136
Rudi;136
Ammar;135
Bastian;135
Erkinpoika;135
Jooel;135
Jouninpoika;135
Raphael;135
Abdulrahman;134
Anwar;134
Israel;134
Oswald;134
Stephan;134
Vilmer;134
Harto;133
Juha-Petri;133
Kumar;133
Matvei;133
Nicolai;133
Sayed;133
Weeti;133
Iivar;132
Quang;132
Salah;132
Can;131
Scott;131
Aziz;130
Eeronpoika;129
Ernesto;129
Marlo;129
Mostafa;129
Ristonpoika;129
Sirius;129
Tami;129
Abdifatah;128
Enzo;128
Justin;128
Niku;128
Ville-Markus;128
Vitali;128
Adil;127
Alexandros;127
Duc;127
Eemu;127
Frederick;127
Fridolf;127
Juhonpoika;127
Mahamud;127
Pär;127
Youssef;127
Anthon;126
Faisal;126
Ilkanpoika;126
Malte;126
Mikki;126
Vili-Valtteri;126
Arian;125
Claus;125
Esanpoika;125
Imran;125
Nikolaus;125
Reh;125
Riku-Pekka;125
Feodor;124
Jama;124
Jordan;124
Kenny;124
Milko;124
Nikanor;124
Pasinpoika;124
Aito;123
Dag;123
Idris;123
Jakke;123
Rolle;123
Saleh;123
Tuan;123
Dmitrii;122
Erling;122
Joeli;122
Pieti;122
Tito;122
Volter;122
Bashir;121
Brynolf;121
Engelbert;121
Mikko-Pekka;121
Veetu;121
Akilles;120
Riki;120
Salama;120
Yousif;120
Eki;119
Jamie;119
Emppu;118
Riku-Petteri;118
Aram;117
Eli;117
Jonah;117
Philippe;117
Atle;116
Jayden;116
Reeti;116
Jussi-Petteri;115
Keimo;115
Nabil;115
Armin;114
Hussain;113
Ilia;113
Lenne;113
Paolo;113
Pierre;113
Tuomaanpoika;113
Vilperi;113
Aadam;112
Enok;112
Pehr;112
Aalto;111
Adel;111
Andy;111
Eduardo;111
Hashim;111
Janinpoika;111
Jussa;111
Miron;111
Ralph;111
Ruslan;111
Enrique;110
Ilya;110
Javier;110
Joosef;110
Kamal;110
Nick;110
Nikolaos;110
Ragnvald;110
Teronpoika;110
Aiden;109
Conrad;109
Douglas;109
Reidar;109
Wili;109
Yousef;109
Francesco;108
Frederik;108
Haidar;108
Junnu;108
Olivier;108
Seemi;108
Vieno;108
El;107
Florian;107
Rinaldo;107
Seponpoika;107
Alexandr;106
Georgios;106
Gilbert;106
Hung;106
Joska;106
Kalle-Pekka;106
Lawrence;106
Lev;106
Mahmood;106
Martinpoika;106
Niiles;106
Nur;106
Poika;106
Sipi;106
Hasse;105
Jona;105
Lorenzo;105
Roobert;105
Sven-Olof;105
Ahmet;104
Farah;104
Halti;104
Salim;104
Salman;104
Santiago;104
Semi;104
Thorvald;104
Willy;104
Carl-Henrik;103
Ebbe;103
Farhan;103
Trygve;103
Volmar;103
Walfrid;103
Angel;102
Antti-Juhani;102
Brandon;102
Constantin;102
Hayder;102
Isidor;102
Jay;102
Jeremiah;102
Juhaninpoika;102
Murat;102
Wolfgang;102
Yahye;102
Aki-Petteri;101
Anto;101
Artonpoika;101
Asad;101
Kasmir;101
Reetu;101
Riko;101
Ale;100
Amar;100
Antony;100
Dean;100
Donald;100
Jan-Kristian;100
Marwan;100
Mert;100
Petrik;100
Rashid;100
Tor-Erik;100
Totte;100
Ukko-Pekka;100
Abdirashid;99
Ananias;99
Asarias;99
Egor;99
Felipe;99
Karl-Henrik;99
Kiril;99
Seth;99
Severus;99
Steve;99
Yasir;99
Zachary;99
Jerri;98
Jokke;98
Marcos;98
Quoc;98
Saeed;98
Östen;98
Cedric;97
Dahir;97
Ekku;97
Janiel;97
Karel;97
Khalil;97
Launo;97
Rahman;97
Suleiman;97
Tapionpoika;97
Tarvo;97
Willehard;97
Xavier;97
Antte;96
Armo;96
Jarmonpoika;96
Joni-Petteri;96
Long;96
Omer;96
Petr;96
Renny;96
Wihtori;96
Ari-Jukka;95
Armando;95
Edmund;95
Friedrich;95
Konstantinos;95
Nicky;95
Timofei;95
Caspar;94
Edvart;94
Erich;94
Hubert;94
Jasim;94
Karlos;94
Maxwell;94
Olli-Petteri;94
Osma;94
Saif;94
Bernard;93
Duy;93
Efe;93
Joar;93
Melwin;93
Olov;93
Vasili;93
Abdallah;92
Arho;92
Calle;92
Crister;92
Eero-Pekka;92
Jymy;92
Lennu;92
Liban;92
Mooses;92
Timmy;92
Valerian;92
Elliott;91
Heinrich;91
Jani-Matti;91
Lamin;91
Mies;91
Abdirizak;90
Aidan;90
Ilppo;90
Kimmonpoika;90
Lars-Johan;90
Carolus;89
Hai;89
Hector;89
Huy;89
Kenth;89
Nolan;89
Pentinpoika;89
Stig-Erik;89
Andrés;88
Carl-Gustaf;88
Eliah;88
Fredric;88
Haakon;88
Joni-Pekka;88
Kristjan;88
Lorenz;88
Nikolay;88
