Sukunimi;Yhteensä
Ahlfors;740
Hakonen;740
Pesola;740
Jokitalo;739
Rantalainen;739
Rutanen;738
Torniainen;737
Fagerholm;736
Särkelä;735
Pekkola;733
Finnilä;732
Hakamäki;732
Valjakka;730
Visuri;729
Grönqvist;726
Lindstedt;726
Rainio;726
Roine;725
Korkeamäki;724
Olin;724
Julin;723
Juopperi;723
Valta;723
Hussein;722
Kvist;722
Vesalainen;722
Nyqvist;721
Äikäs;721
Abdi;720
Dahlström;720
Fagerlund;720
Pekonen;720
Tapaninen;720
Luhtala;719
Vehmas;719
Kostamo;718
Sievänen;718
Mehtonen;717
Kantanen;716
Koskimäki;716
Malmström;715
Rasi;715
Engblom;713
Muikku;713
Peippo;713
Myöhänen;712
Eerikäinen;711
Kupari;710
Pajala;710
Kiljunen;709
Långström;709
Grönfors;707
Koivistoinen;707
Kuutti;707
Vilenius;706
Muukkonen;705
Paju;705
Kiviharju;704
Willman;704
Österman;704
Kaskinen;702
Leminen;701
Mantila;701
Issakainen;700
Laurén;699
Lumme;698
Lipsanen;697
Niittymäki;697
Hautaniemi;696
Korte;695
Jormanainen;693
Raita;692
Törrönen;692
Löppönen;691
Teräväinen;691
Falck;689
Saarikko;689
Hyrkäs;688
Sipiläinen;687
Forsblom;685
Piiparinen;685
Poikolainen;685
Takanen;685
Pihlajaniemi;684
Roth;684
Sundman;684
Vuoristo;684
Kymäläinen;683
Levänen;683
Ikola;682
Saarimaa;682
Talja;682
Mustajärvi;681
Korva;680
Kuula;680
Luotonen;680
Luttinen;680
Sihvola;680
Smolander;680
Sopanen;680
Litmanen;679
Puisto;679
Viinamäki;678
Vilkman;678
Sepponen;677
Asp;676
Boström;676
Valkeapää;676
Kylliäinen;675
Nylander;675
Rämä;673
Haaranen;670
Hartikka;670
Kilponen;670
Tainio;670
Konttila;669
Tiittanen;669
Pääkkö;668
Borg;667
Turkia;667
Björn;666
Metsola;666
Englund;664
Kuha;664
Lehtiniemi;663
Hagström;661
Lajunen;661
Multanen;661
Nupponen;661
Uski;661
Juola;660
Turkki;660
Mankinen;658
Posti;658
Puro;658
Hautanen;657
Kolu;657
Nurkkala;657
Tammelin;657
Joki;656
Elonen;655
Pelttari;655
Sääskilahti;653
Tuuri;653
Alastalo;652
Jeskanen;652
Jokiniemi;652
Karhumaa;652
Karonen;652
Santanen;651
Hannuksela;650
Hyväri;650
Lundell;650
Martiskainen;650
Sandelin;649
Tirronen;649
Tonteri;649
Töyrylä;649
Gröndahl;648
Sjölund;648
Häyrynen;647
Paakkunainen;646
Väre;646
Weckman;645
Viitaniemi;644
Koivusalo;643
Sihvo;642
Harinen;640
Muurinen;640
Tiensuu;640
Vuolle;639
Häggman;638
Koli;637
Mannonen;637
Skog;637
Suihkonen;637
Uusimäki;637
Inkeroinen;635
Wiklund;635
Kilpi;634
Larsson;633
Tyrväinen;633
Kattelus;632
Pesu;631
Hotti;629
Keinonen;629
Kohvakka;629
Leppäniemi;629
Mikkilä;629
Roiha;629
Rönnberg;629
Suoranta;629
Tuokko;629
Alén;628
Mansikkamäki;628
Sassi;628
Jalo;627
Kero;625
Summanen;625
Kiiveri;624
Huhtinen;623
Raitio;623
Oikari;622
Suutarinen;622
Taponen;622
Wikman;622
Marjanen;621
Nygren;621
Paukkunen;621
Ritola;621
Tommila;620
Broman;619
Pätsi;619
Friberg;618
Heinola;618
Jaskari;618
Syvänen;618
Koho;617
Liukko;617
Häkli;616
Kanninen;616
Niemeläinen;616
Virkkala;616
Hoikkala;615
Mynttinen;615
Nikkola;615
Pitkälä;615
Mikola;614
Pylvänäinen;614
Harjunpää;613
Viitamäki;613
Väistö;613
Kivilahti;612
Virtala;612
Viertola;611
Lehtoranta;610
Vanninen;610
Vitikainen;610
Vähätalo;610
Blomster;609
Ingman;609
Kuosa;609
Natunen;609
Piispa;609
Välikangas;609
Hirvi;608
Uotinen;608
Javanainen;607
Luukkainen;606
Rokka;606
Rummukainen;605
Leppä;604
Vähämäki;604
Hulkko;603
Katila;603
Mulari;603
Paunonen;603
Pukkila;603
Söderman;603
Hellgren;601
Köykkä;601
Hukka;600
Puputti;600
Vertanen;600
Westman;600
Bollström;599
Heininen;599
Mänttäri;599
Tuovila;599
Le;598
Lindblad;598
Halminen;597
Ståhl;597
Vähäkuopus;597
Matero;596
Myllys;595
Saarijärvi;595
West;595
Ikäheimo;593
Isokangas;593
Roponen;593
Vasara;593
Hietaniemi;592
Rautakoski;592
Pärnänen;591
Toppinen;591
Enberg;590
Hannonen;590
Lundqvist;590
Hanhela;589
Ibrahim;589
Sulonen;589
Hyry;588
Villanen;588
Haapasaari;587
Skyttä;587
Björkqvist;586
Karsikas;586
Lamminmäki;586
Silventoinen;586
Erola;585
Hemminki;585
Mölsä;585
Saranpää;585
Kaivola;584
Pihlajamaa;584
Kontinen;583
Nyrhinen;583
Ritvanen;583
Simpanen;583
Perämäki;582
Teppo;582
Honkaniemi;581
Kaakinen;581
Kleemola;581
Mansikka;581
Ahopelto;579
Lantto;579
