Etunimi;Lukumäärä
Sonia;396
Kristin;393
Ninja;391
Carla;390
Desiree;390
Gun-Britt;390
Kirsi-Maria;389
Merituuli;389
Nadia;389
Klara;388
Maia;388
Mariann;388
Else-Maj;387
Selena;387
Freya;386
Hanna-Maija;386
Lyyti;386
Adalmina;385
Britt-Marie;384
Hedvig;384
Henriika;384
Kreeta;384
Adina;383
Celina;383
Jennika;383
Lilly;383
Sofianna;383
Lauriina;382
Miira;382
Sarianne;381
Maili;380
Mohammed;378
Tiia-Maria;377
Ylva;377
Armiida;373
Evita;373
Annabella;372
Ann-Sofi;371
Vaula;371
Britt;369
Jarna;369
Emelia;368
Jessi;368
Ulriika;367
Barbara;366
Illusia;366
Myy;365
Thea;364
Lotte;362
Auri;361
Hellen;361
Leonora;360
Salma;360
Ingegärd;358
Miila;358
Abdullahi;350
Anna-Lisa;350
Minna-Liisa;349
Susa;349
Maj-Len;348
Mirja-Liisa;347
Ngoc;347
Adéle;345
Kajsa;345
Anri;344
Leena-Maija;342
Minnea;342
Nova;342
Ethel;340
Rosa-Maria;340
Jenina;339
Nette;338
Maikki;337
Hilppa;335
Sanja;335
Karelia;334
Evi;333
Ainikki;332
Mielikki;330
Ann-Sofie;329
Malviina;329
Raija-Liisa;329
Denise;327
Erna;327
Alviina;326
Auni;326
Kim;326
Klaara;325
Ksenia;325
Elmi;323
Eva-Maria;323
Suvi-Tuuli;323
Gerd;322
Marisa;322
Natasha;321
Molly;320
Adriana;317
Ann-Charlotte;315
Eriikka;314
Raita;314
Dina;313
Henriette;313
Isabell;313
Gunhild;311
Anna-Lena;310
Petronella;310
Martha;308
Sissi;307
Aino-Maria;306
Alessandra;305
Hussein;305
Judith;305
Janniina;304
Julie;304
Alexa;303
Eeva-Leena;303
Halla;303
Pieta;303
Telma;303
Eeva-Kaisa;302
Rut;301
Anna-Kaarina;300
Ariel;300
Caroliina;299
Estella;299
Ilmatar;299
Pauline;299
Vadelma;299
Polina;298
Anastacia;297
Annamaria;295
Gretel;295
Simone;295
Theresia;295
Aniitta;294
Tiiu;294
Tilde;294
Arja-Liisa;293
Eliana;293
Esmeralda;293
Janet;293
Jannica;293
Clarissa;292
Eeva-Riitta;292
Jolanda;291
Stephanie;291
Hanna-Riikka;290
Liv;290
Salla-Mari;290
Maija-Riitta;289
Vivia;289
Jennie;288
Marietta;288
Marke;288
Melanie;288
Seidi;288
Valborg;288
Belinda;287
Marie-Louise;287
Anh;286
Elli-Noora;286
Juliet;286
Lillemor;286
Malva;286
Margetta;286
Jana;285
Maini;285
Li;284
Mariina;284
Rosaliina;284
Suvi-Tuulia;284
Hanni;283
Armida;282
Fia;282
Neelia;282
Anna-Riikka;281
Thuy;281
Desiré;280
Marion;279
Hanna-Liisa;278
Kustaava;277
Rosalia;277
Elizaveta;275
Larisa;275
Ariana;273
Salome;273
Rose-Marie;272
Disa;271
Ilma;270
Liliana;270
Seelia;270
Ana;269
Marta;269
Anna-Riitta;267
Meimi;267
Annaliisa;266
Karola;265
Ninna;265
Arja-Leena;264
Leni;264
Arla;263
Ibrahim;263
Joy;263
Hillervo;261
Kaija-Leena;261
Ragnhild;261
Viia;261
Mei;259
